Highest_Charting_Position,Number_of_Times_Charted,Week_of_Highest_Charting_year,Week_of_Highest_Charting_month,Week_of_Highest_Charting_day,Streams,Artist,Artist_Followers,Release_Date,Release_Date_year,Release_Date_month,Release_Date_day,Weeks_Charted_year,Weeks_Charted_month,Weeks_Charted_day,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,Chord,Genre_1
8,24,2021,4,2,8832945,Giveon,1398563,3/27/2020,2020.0,3,27.0,2021,7,23,87,0.449,0.465,-8.964,0.079,0.524,0.303,89.087,198371,0.543,C,pop
92,2,2020,5,15,5018592,Jonas Brothers,5436999,5/15/2020,2020.0,5,15.0,2020,5,22,70,0.715,0.827,-5.09,0.062,0.049,0.321,117.977,185277,0.75,E,boy band
181,1,2020,12,18,6657404,Taylor Swift,42227614,12/6/2019,2019.0,12,6.0,2020,12,18,52,0.598,0.68,-4.505,0.033,0.06,0.324,134.002,228027,0.437,G,pop
12,29,2020,11,27,5242347,Bad Bunny,36142273,11/27/2020,2020.0,11,27.0,2021,6,11,82,0.811,0.637,-4.835,0.059,0.234,0.118,92.025,130014,0.471,A#/Bb,latin
32,10,2020,1,3,5386512,Lil Uzi Vert,11821805,12/12/2019,2019.0,12,12.0,2020,2,28,67,0.881,0.457,-8.191,0.156,0.033,0.231,136.97,198913,0.296,G,melodic rap
109,1,2020,2,21,6655856,BTS,37151476,2/21/2020,2020.0,2,21.0,2020,2,21,68,0.385,0.798,-6.439,0.483,0.115,0.181,149.756,259821,0.141,A,k-pop
135,15,2020,8,28,4705484,Camilo,10580764,6/10/2020,2020.0,6,10.0,2020,10,16,75,0.483,0.492,-6.591,0.295,0.603,0.323,144.511,188213,0.66,C,colombian pop
47,1,2021,6,25,11380679,"Tyler, The Creator",6777818,6/25/2021,2021.0,6,25.0,2021,6,25,78,0.62,0.586,-6.612,0.212,0.155,0.535,137.131,130980,0.487,C#/Db,hip hop
76,17,2020,6,26,4761286,Harry Nach,134339,7/10/2020,2020.0,7,10.0,2020,9,25,71,0.801,0.579,-4.78,0.081,0.333,0.172,99.994,212406,0.231,B,trap chileno
129,1,2020,1,24,6113037,Gzuz,1140383,2/13/2020,2020.0,2,13.0,2020,1,24,62,0.784,0.703,-7.491,0.236,0.097,0.075,141.035,162938,0.556,B,deep german hip hop
83,2,2021,7,23,7516291,Bo Burnham,1042079,6/10/2021,2021.0,6,10.0,2021,7,23,84,0.694,0.948,-5.307,0.036,0.009,0.139,115.044,58149,0.705,D,comic
134,1,2020,6,19,5060764,J. Cole,14103694,6/16/2020,2020.0,6,16.0,2020,6,19,66,0.586,0.512,-8.819,0.067,0.723,0.119,75.857,235480,0.235,G#/Ab,conscious hip hop
8,10,2021,7,2,24551591,Måneskin,3377762,3/19/2021,2021.0,3,19.0,2021,7,23,95,0.75,0.608,-4.008,0.039,0.002,0.178,132.507,173347,0.958,C#/Db,indie rock italiano
153,1,2020,11,13,5445204,"Future, Lil Uzi Vert",10491105,11/13/2020,2020.0,11,13.0,2020,11,13,56,0.758,0.574,-7.833,0.217,0.216,0.144,144.081,274313,0.706,A,atl hip hop
15,8,2020,2,14,6517807,Justin Bieber,48544923,2/14/2020,2020.0,2,14.0,2020,4,3,68,0.825,0.483,-5.746,0.08,0.538,0.204,139.98,219933,0.892,G#/Ab,canadian pop
65,2,2020,2,28,6004839,Lil Baby,7816213,2/28/2020,2020.0,2,28.0,2020,3,6,66,0.788,0.436,-9.435,0.364,0.061,0.098,129.847,177314,0.341,C#/Db,atl hip hop
84,1,2020,2,21,7850129,BTS,37151476,2/21/2020,2020.0,2,21.0,2020,2,21,72,0.703,0.646,-6.658,0.06,0.01,0.191,141.87,208590,0.64,F#/Gb,k-pop
5,32,2021,2,5,5734402,"Myke Towers, Juhn",6150675,12/10/2020,2020.0,12,10.0,2021,7,23,85,0.713,0.617,-4.637,0.089,0.122,0.096,168.021,232853,0.682,G#/Ab,trap latino
199,1,2021,5,7,5018076,Jorge & Mateus,15013645,4/22/2021,2021.0,4,22.0,2021,5,7,72,0.686,0.789,-4.103,0.126,0.322,0.4,157.932,157355,0.822,C#/Db,sertanejo
122,1,2020,3,27,5995116,"Shiva, Eiffel 65",561372,3/26/2020,2020.0,3,26.0,2020,3,27,56,0.82,0.783,-6.146,0.062,0.016,0.094,130.015,166087,0.653,F,italian hip hop
24,3,2020,7,24,5112180,Taylor Swift,42227614,7/24/2020,2020.0,7,24.0,2020,8,7,71,0.593,0.377,-8.761,0.025,0.6,0.098,95.939,294521,0.502,C,pop
54,7,2021,1,22,5232377,"Anuel AA, Ozuna",18306226,1/22/2021,2021.0,1,22.0,2021,3,5,73,0.817,0.737,-5.453,0.102,0.046,0.092,93.985,206587,0.67,F#/Gb,latin
13,83,2020,1,24,5436286,Billie Eilish,1250353,8/13/2021,2021.0,8,13.0,2021,7,23,0,0.701,0.425,-10.965,0.375,0.328,0.1,135.128,194088,0.562,G,
61,26,2020,8,21,5060903,BØRNS,1027085,10/16/2015,2015.0,10,16.0,2021,3,5,83,0.611,0.797,-7.627,0.053,0.005,0.26,120.041,218107,0.518,F#/Gb,modern alternative rock
123,1,2020,5,22,5552890,Capital Bra,4093115,5/21/2020,2020.0,5,21.0,2020,5,22,53,0.485,0.793,-3.836,0.426,0.251,0.146,87.629,160667,0.371,B,german hip hop
12,11,2021,5,28,7975148,Måneskin,3377762,3/19/2021,2021.0,3,19.0,2021,7,23,86,0.625,0.939,-3.115,0.067,0.001,0.424,102.999,194787,0.644,E,indie rock italiano
86,8,2020,7,17,4538382,"Kygo, Tina Turner",7593792,7/17/2020,2020.0,7,17.0,2020,9,4,74,0.75,0.664,-5.908,0.154,0.275,0.063,105.023,208156,0.617,G#/Ab,edm
110,2,2021,7,16,5366242,Normani,1304510,7/22/2021,2021.0,7,22.0,2021,7,23,75,0.74,0.576,-6.744,0.146,0.025,0.104,110.095,209476,0.315,F#/Gb,dance pop
112,3,2021,6,11,5511544,Soso Maness,289437,6/4/2021,2021.0,6,4.0,2021,6,18,79,0.624,0.802,-4.818,0.311,0.06,0.252,133.888,189933,0.818,F#/Gb,francoton
186,10,2020,8,7,4391666,Jason Mraz,6167871,5/12/2008,2008.0,5,12.0,2020,8,21,80,0.686,0.457,-8.322,0.047,0.595,0.105,150.953,242187,0.718,B,acoustic pop
100,1,2020,7,3,6620040,Pop Smoke,6852509,7/3/2020,2020.0,7,3.0,2020,7,3,70,0.764,0.676,-6.761,0.093,0.389,0.215,97.02,197938,0.461,B,brooklyn drill
21,15,2020,3,6,4769996,Lil Uzi Vert,11821805,3/6/2020,2020.0,3,6.0,2020,6,12,73,0.775,0.72,-5.353,0.193,0.024,0.114,155.086,234627,0.49,B,melodic rap
129,4,2020,7,3,5228433,Trevor Daniel,632097,6/26/2020,2020.0,6,26.0,2020,7,17,47,0.575,0.543,-5.062,0.053,0.102,0.176,159.905,186480,0.283,D#/Eb,alternative r&b
139,8,2020,3,13,4401019,"Rauw Alejandro, Anuel AA, Natti Natasha, Farruko, Lunay",6096559,3/6/2020,2020.0,3,6.0,2020,5,1,70,0.816,0.72,-4.454,0.068,0.206,0.277,94.004,267242,0.78,C#/Db,puerto rican pop
48,6,2020,5,8,4567732,Bad Bunny,36177712,5/10/2020,2020.0,5,10.0,2020,6,12,72,0.712,0.599,-6.342,0.112,0.412,0.103,179.788,178000,0.588,F,latin
41,13,2021,7,23,11477024,"TINI, Maria Becerra",2936204,4/29/2021,2021.0,4,29.0,2021,7,23,90,0.85,0.541,-4.522,0.067,0.161,0.286,92.003,165275,0.916,D,latin pop
117,7,2020,1,3,4905155,"Travis Scott, Young Thug",3337982,11/1/2019,2019.0,11,1.0,2020,2,7,68,0.845,0.631,-8.206,0.216,0.188,0.081,111.983,279907,0.545,G,atl hip hop
70,3,2020,2,28,6105711,"Bad Bunny, Duki, Pablo Chill-E",36177712,2/29/2020,2020.0,2,29.0,2020,3,13,69,0.683,0.677,-4.496,0.047,0.087,0.1,156.019,240253,0.514,C#/Db,latin
106,1,2020,5,29,6069544,Lady Gaga,18585963,5/29/2020,2020.0,5,29.0,2020,5,29,58,0.668,0.826,-4.466,0.038,0.024,0.474,122.973,215480,0.388,A,dance pop
57,5,2021,7,23,9206366,João Gomes,409173,6/1/2021,2021.0,6,1.0,2021,7,23,83,0.668,0.887,-4.404,0.056,0.369,0.257,151.92,157176,0.907,B,
22,2,2020,12,11,8115520,Taylor Swift,42227614,12/11/2020,2020.0,12,11.0,2020,12,18,66,0.575,0.434,-8.193,0.031,0.735,0.105,145.916,229840,0.348,F,pop
31,2,2020,10,30,5282490,Ariana Grande,67208170,10/30/2020,2020.0,10,30.0,2020,11,6,63,0.499,0.462,-5.308,0.031,0.801,0.095,127.698,157710,0.599,C,dance pop
5,21,2021,4,9,13963568,"Bruno Mars, Anderson .Paak, Silk Sonic",32574754,3/5/2021,2021.0,3,5.0,2021,7,23,92,0.586,0.616,-7.964,0.032,0.182,0.093,148.088,242096,0.719,F,dance pop
151,1,2020,2,28,5724739,Apache 207,1674348,2/24/2020,2020.0,2,24.0,2020,2,28,55,0.789,0.509,-8.766,0.291,0.768,0.272,114.957,183793,0.418,A,german hip hop
68,1,2021,4,9,8638360,DMX,2815928,6/12/2007,2007.0,6,12.0,2021,4,9,73,0.761,0.899,-3.09,0.183,0.014,0.072,95.027,217587,0.673,A#/Bb,east coast hip hop
7,1,2020,2,7,28509534,"Justin Bieber, Quavo",48544923,2/14/2020,2020.0,2,14.0,2020,2,7,77,0.806,0.546,-6.637,0.058,0.3,0.102,147.986,212867,0.874,A,canadian pop
182,6,2020,10,16,4995623,Ed Sheeran,83337783,6/21/2014,2014.0,6,21.0,2021,2,12,82,0.781,0.445,-6.061,0.03,0.474,0.184,78.998,281560,0.591,D,pop
196,1,2020,1,10,4866777,Selena Gomez,28931149,1/10/2020,2020.0,1,10.0,2020,1,10,49,0.691,0.446,-10.304,0.047,0.484,0.183,93.03,212436,0.534,B,dance pop
174,3,2021,1,8,4884711,Megan Thee Stallion,4794212,11/20/2020,2020.0,11,20.0,2021,2,5,76,0.957,0.437,-7.882,0.359,0.004,0.219,130.058,137984,0.616,B,houston rap
59,18,2021,5,7,5434073,"P!nk, Willow Sage Hart",11477164,2/12/2021,2021.0,2,12.0,2021,7,23,83,0.476,0.594,-6.879,0.135,0.06,0.079,159.702,141050,0.314,F,dance pop
180,2,2020,11,27,5364223,Studio Killers,181236,12/4/2020,2020.0,12,4.0,2020,12,4,72,0.668,0.798,-5.701,0.033,0.003,0.277,133.928,215280,0.575,B,
199,1,2021,7,23,4950275,Dave,1427540,7/22/2021,2021.0,7,22.0,2021,7,23,77,0.961,0.502,-8.605,0.312,0.28,0.145,117.078,182285,0.536,D,uk hip hop
140,1,2020,7,31,5768616,A$AP Ferg,3037935,9/25/2020,2020.0,9,25.0,2020,7,31,61,0.808,0.676,-4.902,0.223,0.062,0.11,144.018,144973,0.076,E,hip hop
29,2,2020,11,27,6204228,Bad Bunny,36177712,11/27/2020,2020.0,11,27.0,2020,12,4,70,0.763,0.597,-5.054,0.042,0.158,0.111,126.054,139576,0.194,C#/Db,latin
73,1,2020,12,18,10509961,Queen,missing, ,, ,,2020,12,18,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing, , 
147,1,2020,7,24,5600868,"Capital Bra, Clueso, KC Rebell",4093115,7/23/2020,2020.0,7,23.0,2020,7,24,60,0.692,0.764,-5.233,0.113,0.574,0.106,84.029,189686,0.564,F,german hip hop
191,1,2021,1,15,4915403,Erica Banks,41551,6/19/2020,2020.0,6,19.0,2021,1,15,72,0.956,0.502,-5.995,0.213,0.059,0.238,110.003,187000,0.795,A,trap queen
3,70,2020,1,10,5241227,Future,10488292,1/10/2020,2020.0,1,10.0,2021,5,7,81,0.676,0.609,-5.831,0.481,0.071,0.152,142.037,237735,0.508,D,atl hip hop
138,49,2020,10,16,4900492,Dean Lewis,1692635,6/29/2018,2018.0,6,29.0,2021,2,5,80,0.553,0.586,-6.319,0.036,0.697,0.081,126.684,196373,0.443,B,australian pop
164,4,2020,9,18,4964708,Dalex,missing, ,, ,,2020,9,25,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing, , 
131,21,2020,4,3,4397385,"Kina, Adriana Proenza",661863,8/31/2018,2018.0,8,31.0,2020,5,15,78,0.522,0.128,-18.717,0.036,0.894,0.094,109.986,187932,0.124,E,sad rap
5,31,2020,11,6,5191697,Justin Bieber,48504126,10/16/2020,2020.0,10,16.0,2021,5,14,80,0.631,0.239,-7.071,0.04,0.864,0.116,79.859,149297,0.093,B,canadian pop
166,1,2020,6,26,4577209,Megan Thee Stallion,4794212,6/26/2020,2020.0,6,26.0,2020,6,26,72,0.821,0.863,-3.159,0.353,0.008,0.038,180.013,154324,0.874,F#/Gb,houston rap
22,32,2020,8,28,5120753,Rauw Alejandro,6096559,7/9/2020,2020.0,7,9.0,2021,2,12,78,0.848,0.637,-5.132,0.156,0.041,0.052,96.988,222680,0.698,A,puerto rican pop
94,18,2019,12,27,4318772,Maroon 5,32279979,6/15/2018,2018.0,6,15.0,2020,6,26,66,0.851,0.541,-6.825,0.051,0.568,0.13,124.959,235545,0.448,C,pop
48,3,2021,7,23,10215216,"Tiago PZK, LIT killah",375865,7/8/2021,2021.0,7,8.0,2021,7,23,89,0.729,0.513,-6.345,0.046,0.494,0.137,170.064,192353,0.789,F,trap argentino
31,34,2020,1,3,4514763,Juice WRLD,19102888,10/4/2019,2019.0,10,4.0,2020,8,28,81,0.474,0.631,-5.884,0.343,0.069,0.132,180.051,189323,0.425,F,chicago rap
180,1,2020,12,18,6680928,Tony Bennett,659472,12/9/2014,2014.0,12,9.0,2020,12,18,29,0.604,0.497,-6.676,0.032,0.727,0.102,126.011,149307,0.72,C#/Db,adult standards
179,1,2020,10,30,5096618,AC/DC,20110171,7/27/1979,1979.0,7,27.0,2020,10,30,83,0.574,0.913,-4.793,0.133,0.061,0.156,115.728,208400,0.423,F#/Gb,australian rock
153,1,2021,7,23,5627257,"Emilia, Duki",205590,7/13/2021,2021.0,7,13.0,2021,7,23,83,0.843,0.534,-6.658,0.142,0.467,0.098,94.984,173053,0.528,C#/Db,
4,38,2020,6,26,5023592,BLACKPINK,23848461,10/2/2020,2020.0,10,2.0,2021,3,12,79,0.812,0.761,-5.222,0.081,0.047,0.06,130.032,182956,0.344,B,k-pop
9,39,2020,3,13,5390363,"Bad Bunny, Jowell & Randy, Ñengo Flow",36177712,2/29/2020,2020.0,2,29.0,2020,12,4,79,0.607,0.829,-4.074,0.379,0.01,0.107,96.172,295177,0.685,D,latin
17,12,2021,5,7,5383125,"Tion Wayne, Russ Millions",323203,4/22/2021,2021.0,4,22.0,2021,7,16,84,0.883,0.674,-8.043,0.357,0.21,0.068,141.02,278085,0.73,B,london rap
13,3,2020,7,24,5564072,Taylor Swift,42227614,7/24/2020,2020.0,7,24.0,2020,8,7,70,0.553,0.413,-10.037,0.033,0.687,0.059,110.107,208978,0.379,D,pop
38,2,2020,10,30,5798744,Ariana Grande,67208170,10/30/2020,2020.0,10,30.0,2020,11,6,70,0.552,0.599,-5.75,0.04,0.07,0.099,161.884,208457,0.092,C#/Db,dance pop
161,1,2020,1,10,5356671,Selena Gomez,28931149,1/10/2020,2020.0,1,10.0,2020,1,10,51,0.826,0.571,-9.263,0.043,0.249,0.215,121.06,189145,0.475,D,dance pop
80,80,2019,12,27,6452492,Ed Sheeran,83293380,3/3/2017,2017.0,3,3.0,2021,7,23,85,0.825,0.652,-3.183,0.08,0.581,0.093,95.977,233713,0.931,C#/Db,pop
5,142,2019,12,27,5294368,Harry Styles,16112621,12/13/2019,2019.0,12,13.0,2021,5,14,83,0.567,0.267,-6.502,0.03,0.839,0.089,110.011,240133,0.059,E,pop
171,1,2020,9,25,5141212,Joji,4759367,9/25/2020,2020.0,9,25.0,2020,9,25,66,0.656,0.776,-6.184,0.067,0.16,0.372,156.049,156759,0.638,F#/Gb,alternative r&b
36,2,2020,3,20,5730081,The Weeknd,35340069,3/20/2020,2020.0,3,20.0,2020,3,27,67,0.375,0.605,-7.268,0.073,0.612,0.147,175.946,283227,0.128,C,canadian contemporary r&b
134,1,2021,6,4,6040553,"TOMORROW X TOGETHER, Seori",4136553,5/31/2021,2021.0,5,31.0,2021,6,4,81,0.584,0.836,-4.925,0.079,0.056,0.066,104.973,202204,0.484,C,k-pop
24,2,2020,11,20,7703744,BTS,37151476,11/20/2020,2020.0,11,20.0,2020,11,27,77,0.787,0.669,-4.333,0.043,0.008,0.123,104.994,202313,0.57,F,k-pop
19,26,2021,1,1,5264232,Lil Nas X,5473565,11/13/2020,2020.0,11,13.0,2021,5,7,83,0.81,0.511,-6.924,0.164,0.12,0.083,151.947,154998,0.837,F,lgbtq+ hip hop
186,1,2020,2,21,4938864,Ufo361,1700759,4/24/2020,2020.0,4,24.0,2020,2,21,50,0.548,0.648,-4.796,0.292,0.084,0.123,141.937,204319,0.232,E,german cloud rap
7,65,2020,3,27,4971176,Dua Lipa,27142474,3/27/2020,2020.0,3,27.0,2021,6,18,80,0.73,0.729,-3.434,0.088,0.167,0.349,113.011,221820,0.467,E,dance pop
190,1,2020,3,6,5251918,Post Malone,33663701,12/9/2016,2016.0,12,9.0,2020,3,6,80,0.556,0.538,-5.408,0.038,0.069,0.196,143.95,223347,0.291,G#/Ab,dfw rap
80,41,2021,4,23,5098609,Polo G,4840346,5/15/2020,2020.0,5,15.0,2021,7,23,85,0.832,0.534,-7.813,0.253,0.345,0.165,93.924,132833,0.116,C#/Db,chicago rap
121,1,2021,3,12,6155698,KSI,2010879,3/12/2021,2021.0,3,12.0,2021,3,12,71,0.616,0.741,-4.272,0.043,0.003,0.307,122.012,181720,0.431,G,uk hip hop
113,7,2020,1,3,4986299,DaBaby,7601122,3/1/2019,2019.0,3,1.0,2020,2,7,76,0.876,0.662,-6.482,0.426,0.061,0.127,75.445,163320,0.844,D,north carolina hip hop
199,1,2019,12,27,4595450,Taylor Swift,42227614,11/13/2019,2019.0,11,13.0,2019,12,27,70,0.448,0.603,-7.176,0.064,0.433,0.086,205.272,221307,0.422,G,pop
174,1,2020,11,20,5263469,Sfera Ebbasta,4430628,12/18/2020,2020.0,12,18.0,2020,11,20,55,0.846,0.681,-7.091,0.174,0.046,0.112,131.988,192965,0.809,F,italian hip hop
128,3,2021,1,22,5059891,"Jason Derulo, Maroon 5",9778632,1/21/2021,2021.0,1,21.0,2021,2,19,78,0.749,0.674,-5.128,0.037,0.021,0.169,123.055,153865,0.711,A#/Bb,dance pop
12,9,2020,1,10,5195842,Selena Gomez,28931149,1/10/2020,2020.0,1,10.0,2020,3,6,68,0.838,0.545,-6.713,0.071,0.208,0.103,114.998,220590,0.631,F,dance pop
117,8,2020,2,14,4176083,Lizzo,3991674,2016,,2016,,2020,4,10,71,0.668,0.892,-3.001,0.065,0.298,0.735,95.927,159011,0.478,F,dance pop
50,5,2021,1,22,5497942,Sabrina Carpenter,3689546,1/22/2021,2021.0,1,22.0,2021,2,19,76,0.557,0.457,-5.372,0.034,0.428,0.057,105.918,177500,0.328,G,alt z
60,3,2020,2,28,5440382,Bad Bunny,36177712,2/29/2020,2020.0,2,29.0,2020,3,13,69,0.762,0.801,-3.661,0.041,0.2,0.254,93.992,136893,0.81,C#/Db,latin
171,2,2021,1,1,4848222,"Petter Ferraz, Menor Nico",14122,10/16/2020,2020.0,10,16.0,2021,1,1,66,0.934,0.707,-4.214,0.065,0.437,0.063,138.023,173913,0.961,A,
8,37,2021,2,5,5013017,CJ,180454,8/20/2020,2020.0,8,20.0,2021,7,2,81,0.719,0.648,-7.6,0.125,0.2,0.127,140.201,123263,0.66,D#/Eb,nyc rap
105,26,2020,1,3,5229835,Sam Smith,17097317,1/11/2019,2019.0,1,11.0,2020,10,30,78,0.741,0.52,-7.513,0.066,0.45,0.222,102.998,171030,0.347,G#/Ab,dance pop
52,9,2021,7,2,9428494,Marshmello,31541310,5/21/2021,2021.0,5,21.0,2021,7,23,89,0.721,0.738,-4.77,0.04,0.002,0.118,119.976,154983,0.637,G,brostep
84,3,2021,5,14,7615531,Migos,11690201,5/14/2021,2021.0,5,14.0,2021,6,11,77,0.847,0.629,-5.81,0.102,0.032,0.152,135.976,255532,0.109,A,atl hip hop
91,33,2019,12,27,4502853,Ava Max,3916979,9/18/2020,2020.0,9,18.0,2020,9,18,81,0.72,0.706,-4.719,0.047,0.068,0.166,133.002,187436,0.62,C#/Db,dance pop
9,7,2020,12,18,12266990,Kelly Clarkson,7869617,10/29/2013,2013.0,10,29.0,2020,12,25,49,0.509,0.812,-5.439,0.054,0.001,0.214,159.878,229640,0.689,G#/Ab,dance pop
185,7,2020,8,7,4380308,Juanfran,117894,2/7/2020,2020.0,2,7.0,2020,8,14,67,0.827,0.629,-3.966,0.185,0.183,0.084,88.064,187500,0.486,F#/Gb,dominican pop
126,2,2020,3,6,5895243,Ninho,4764552,3/7/2020,2020.0,3,7.0,2020,3,13,54,0.487,0.398,-9.901,0.07,0.835,0.12,149.367,157766,0.905,C#/Db,french hip hop
126,1,2020,9,25,6013371,Joji,4759367,9/25/2020,2020.0,9,25.0,2020,9,25,66,0.738,0.533,-7.617,0.049,0.183,0.115,132.008,207265,0.262,G,alternative r&b
158,5,2020,1,3,4791732,"J. Cole, Young Thug",6383275,5/23/2019,2019.0,5,23.0,2020,1,31,72,0.796,0.586,-6.946,0.147,0.025,0.132,97.981,200107,0.179,E,atl hip hop
192,1,2020,3,13,4787180,Tones And I,1251372,8/13/2021,2021.0,8,13.0,2020,3,13,0,0.756,0.553,-4.24,0.034,0.404,0.158,117.992,221467,0.597,F#/Gb,
182,3,2021,3,12,5098581,Hippie Sabotage,713486,2/5/2016,2016.0,2,5.0,2021,3,19,80,0.391,0.396,-8.621,0.189,0.702,0.315,99.112,131272,0.199,C#/Db,edm
38,5,2020,12,18,6052105,Shakin' Stevens,99249,11/25/1991,1991.0,11,25.0,2020,12,25,47,0.534,0.904,-3.315,0.037,0.129,0.128,202.899,220160,0.96,A,classic uk pop
31,3,2020,3,6,5231134,Lil Uzi Vert,11821805,3/6/2020,2020.0,3,6.0,2020,3,20,67,0.855,0.676,-5.736,0.325,0.089,0.144,133.082,195299,0.509,C#/Db,melodic rap
184,1,2020,2,28,5192813,"Capital Bra, Samra",4093115,2/27/2020,2020.0,2,27.0,2020,2,28,52,0.701,0.714,-5.906,0.524,0.289,0.088,86.91,173353,0.604,A#/Bb,german hip hop
92,1,2020,5,22,6384306,Gunna,3337982,5/22/2020,2020.0,5,22.0,2020,5,22,60,0.89,0.455,-9,0.255,0.022,0.11,148.009,158240,0.313,C,atl hip hop
20,7,2021,7,23,16908917,Doja Cat,8640063,6/25/2021,2021.0,6,25.0,2021,7,23,90,0.664,0.609,-6.509,0.071,0.304,0.093,130.041,210560,0.194,C#/Db,dance pop
171,1,2020,7,31,4828004,NLE Choppa,3372385,7/30/2020,2020.0,7,30.0,2020,7,31,64,0.614,0.553,-8.225,0.169,0.031,0.203,159.999,240297,0.161,G,memphis hip hop
27,21,2020,1,17,4360660,Jonas Brothers,5436999,1/17/2020,2020.0,1,17.0,2020,6,5,77,0.852,0.698,-7.206,0.063,0.008,0.077,113.039,180645,0.324,A,boy band
27,8,2021,4,16,5347781,"Young Stoner Life, Young Thug, Gunna",61930,4/16/2021,2021.0,4,16.0,2021,6,4,82,0.887,0.485,-9.358,0.2,0.039,0.141,125.987,215693,0.328,B,rap
142,23,2021,5,28,5607285,Avicii,20270895,1/1/2013,2013.0,1,1.0,2021,7,23,84,0.532,0.783,-5.697,0.052,0.004,0.161,124.08,247427,0.643,D,dance pop
38,72,2020,4,17,5127736,JP Saxe,280585,10/17/2019,2019.0,10,17.0,2021,5,14,82,0.464,0.473,-10.086,0.129,0.866,0.109,75.801,208687,0.604,C#/Db,alt z
37,3,2020,7,10,5047752,Juice WRLD,19102888,7/10/2020,2020.0,7,10.0,2020,7,24,75,0.745,0.5,-6.184,0.135,0.439,0.094,76.968,168685,0.433,G#/Ab,chicago rap
193,1,2021,7,16,5173308,John Mayer,5178156,7/16/2021,2021.0,7,16.0,2021,7,16,76,0.741,0.556,-9.184,0.027,0.063,0.103,122.008,249080,0.587,D,neo mellow
140,3,2020,11,6,5196635,The Kid LAROI,2238190,11/6/2020,2020.0,11,6.0,2020,11,20,76,0.762,0.426,-6.865,0.113,0.044,0.086,167.827,151705,0.582,G#/Ab,australian hip hop
20,3,2020,7,24,5053658,Taylor Swift,42227614,7/24/2020,2020.0,7,24.0,2020,8,7,70,0.559,0.31,-10.445,0.034,0.881,0.106,119.845,190898,0.46,A#/Bb,pop
