Highest_Charting_Position,Number_of_Times_Charted,Week_of_Highest_Charting_year,Week_of_Highest_Charting_month,Week_of_Highest_Charting_day,Streams,Artist,Artist_Followers,Release_Date,Release_Date_year,Release_Date_month,Release_Date_day,Weeks_Charted_year,Weeks_Charted_month,Weeks_Charted_day,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,Chord,Genre_1
118,1,2020,3,27,6015914,Dua Lipa,27167675,2/11/2021,2021.0,2,11.0,2020,3,27,63,0.768,0.486,-5.954,0.035,0.408,0.098,125.021,166266,0.519,D#/Eb,dance pop
18,34,2020,4,3,4680447,Bad Bunny,36177712,2/29/2020,2020.0,2,29.0,2020,10,16,78,0.86,0.758,-5.16,0.07,0.021,0.344,97.014,172127,0.453,B,latin
153,1,2020,3,13,5415044,Lil Uzi Vert,11821805,3/13/2020,2020.0,3,13.0,2020,3,13,57,0.762,0.622,-6.293,0.223,0.352,0.145,130.019,193314,0.626,F,melodic rap
51,5,2020,1,10,4947780,Khalid,14190858,5/1/2020,2020.0,5,1.0,2020,2,7,68,0.679,0.408,-9.754,0.088,0.133,0.23,129.079,206080,0.151,E,pop
6,15,2020,10,2,4796365,BLACKPINK,23848461,10/2/2020,2020.0,10,2.0,2021,1,15,75,0.654,0.707,-5.661,0.066,0.006,0.087,127.97,194765,0.448,F#/Gb,k-pop
175,1,2021,2,5,5197587,Martin Garrix,14921269,2/5/2021,2021.0,2,5.0,2021,2,5,76,0.859,0.558,-8.991,0.09,0.659,0.124,114.978,144391,0.357,G,dance pop
91,10,2020,1,31,5676621,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",3600989,11/22/2019,2019.0,11,22.0,2020,2,28,67,0.795,0.715,-3.582,0.084,0.141,0.179,165.941,304733,0.758,C#/Db,latin
176,1,2020,1,3,4856458,Lauv,missing, ,, ,,2020,1,3,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing, , 
35,27,2020,11,13,5145966,Justin Quiles,2897862,8/14/2020,2020.0,8,14.0,2021,2,26,75,0.807,0.656,-4.395,0.105,0.017,0.069,83.943,185840,0.89,D#/Eb,latin
41,1,2020,11,27,12914431,Bad Bunny,36177712,11/27/2020,2020.0,11,27.0,2020,11,27,70,0.86,0.725,-6.7,0.249,0.046,0.099,145.001,162151,0.375,B,latin
183,1,2020,12,11,6108393,Kid Cudi,5002317,12/11/2020,2020.0,12,11.0,2020,12,11,54,0.331,0.513,-15.392,0.632,0.972,0.882,133.971,37013,0.42,B,hip hop
177,7,2021,1,29,5053713,Tones And I,2820477,11/13/2020,2020.0,11,13.0,2021,2,19,79,0.806,0.513,-6.208,0.069,0.217,0.217,124.988,178157,0.503,E,australian pop
128,1,2019,12,27,5632102,Doja Cat,8671649,3/30/2018,2018.0,3,30.0,2019,12,27,71,0.689,0.516,-5.857,0.044,0.513,0.163,124.876,190920,0.209,G#/Ab,dance pop
120,1,2020,2,21,6373954,BTS,37151476,2/21/2020,2020.0,2,21.0,2020,2,21,67,0.661,0.84,-4.805,0.116,0.005,0.287,91.457,237540,0.524,C,k-pop
144,1,2021,2,19,5897983,NF,5831194,2/18/2021,2021.0,2,18.0,2021,2,19,69,0.793,0.65,-3.944,0.397,0.371,0.854,128.111,243750,0.809,C#/Db,hip hop
85,5,2021,7,9,6711375,Madison Beer,3363988,6/4/2021,2021.0,6,4.0,2021,7,23,86,0.386,0.426,-6.642,0.036,0.807,0.14,180.104,203385,0.261,D#/Eb,alt z
29,6,2021,6,25,10032746,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075,6/15/2021,2021.0,6,15.0,2021,7,23,89,0.839,0.711,-4.733,0.047,0.398,0.118,97.99,349547,0.573,F#/Gb,latin
2,46,2020,5,1,4966878,Drake,56327031,4/3/2020,2020.0,4,3.0,2021,2,12,78,0.834,0.454,-9.75,0.201,0.321,0.114,81.618,247059,0.837,C#/Db,canadian hip hop
46,10,2021,7,23,10315460,Galantis,3120157,5/20/2021,2021.0,5,20.0,2021,7,23,89,0.595,0.784,-4.878,0.102,0.216,0.061,124.111,183726,0.479,C#/Db,dance pop
1,12,2020,7,24,5845457,Taylor Swift,42227614,7/24/2020,2020.0,7,24.0,2020,12,11,79,0.613,0.581,-8.588,0.042,0.537,0.25,130.033,239560,0.551,C,pop
116,21,2019,12,27,4426791,Panic! At The Disco,10850424,6/22/2018,2018.0,6,22.0,2020,6,26,81,0.579,0.904,-2.729,0.062,0.193,0.064,82.014,190947,0.681,F,modern rock
56,4,2020,6,19,5031845,Tyla Yaweh,359133,6/12/2020,2020.0,6,12.0,2020,7,3,73,0.457,0.621,-5.923,0.138,0.218,0.094,85.359,224638,0.634,A#/Bb,cali rap
68,1,2020,3,6,9824605,Lil Uzi Vert,11821805,3/6/2020,2020.0,3,6.0,2020,3,6,63,0.775,0.757,-4.139,0.175,0.162,0.148,142.933,188800,0.562,A,melodic rap
11,4,2020,10,2,6846771,BLACKPINK,23848461,10/2/2020,2020.0,10,2.0,2020,10,23,67,0.653,0.662,-6.168,0.162,0.005,0.063,111.712,161168,0.674,G,k-pop
157,1,2020,9,4,5117128,Saweetie,1255573,8/28/2020,2020.0,8,28.0,2020,9,4,64,0.948,0.63,-7.011,0.219,0.006,0.074,100.032,253569,0.425,C#/Db,cali rap
45,19,2021,4,30,6660319,Bruno Mars,32574754,10/5/2010,2010.0,10,5.0,2021,7,23,83,0.523,0.606,-4.754,0.03,0.512,0.106,145.837,217867,0.065,C#/Db,dance pop
135,4,2021,7,23,5912784,Jamie Miller,64288,4/30/2021,2021.0,4,30.0,2021,7,23,85,0.558,0.454,-5.335,0.055,0.499,0.146,113.12,158594,0.424,F#/Gb,pop soul
93,2,2020,6,12,4513982,NLE Choppa,3372385,6/12/2020,2020.0,6,12.0,2020,6,19,62,0.806,0.749,-5.268,0.328,0.084,0.062,140.032,145167,0.77,C#/Db,memphis hip hop
157,1,2020,8,7,5074613,DaBaby,7601122,8/4/2020,2020.0,8,4.0,2020,8,7,69,0.709,0.679,-6.503,0.346,0.012,0.097,162.973,153467,0.754,B,north carolina hip hop
30,2,2020,1,17,7157402,Eminem,46814751,1/17/2020,2020.0,1,17.0,2020,1,24,66,0.68,0.82,-4.197,0.151,0.061,0.597,140.033,234653,0.243,E,detroit hip hop
15,6,2020,12,18,10609206,Justin Bieber,48544923,1/1/2011,2011.0,1,1.0,2020,12,25,59,0.657,0.56,-9.049,0.047,0.498,0.079,161.993,182947,0.854,F#/Gb,canadian pop
17,78,2020,4,24,4975720,Travis Scott,17719446,10/4/2019,2019.0,10,4.0,2021,6,18,84,0.598,0.427,-8.764,0.032,0.055,0.21,76.469,175721,0.061,G,rap
59,1,2020,11,27,11066606,"Bad Bunny, ABRA",36177712,11/27/2020,2020.0,11,27.0,2020,11,27,70,0.612,0.561,-6.054,0.085,0.06,0.145,191.911,163053,0.393,C#/Db,latin
195,1,2021,5,21,5174437,Gjon's Tears,32257,3/10/2021,2021.0,3,10.0,2021,5,21,69,0.534,0.365,-9.187,0.033,0.81,0.158,123.466,183707,0.237,A,
94,1,2020,1,17,8277608,Eminem,46814751,1/17/2020,2020.0,1,17.0,2020,1,17,61,0.89,0.664,-6.625,0.106,0.005,0.257,93.007,247733,0.467,E,detroit hip hop
83,3,2020,1,3,5834918,Khalid,14190858,11/14/2019,2019.0,11,14.0,2020,1,10,69,0.665,0.712,-7.536,0.053,0.001,0.102,93.992,157220,0.669,C#/Db,pop
88,27,2020,1,3,4403348,Drake,56327031,6/15/2019,2019.0,6,15.0,2020,6,26,78,0.831,0.502,-4.045,0.046,0.101,0.122,100.541,205427,0.101,A#/Bb,canadian hip hop
183,2,2020,12,25,4580123,"Os Barões Da Pisadinha, Xand Avião",4281787,5/29/2020,2020.0,5,29.0,2021,1,1,68,0.599,0.914,-2.415,0.063,0.5,0.694,168.008,182977,0.831,F,forro
167,1,2020,9,11,4938139,Matuê,3263283,9/10/2020,2020.0,9,10.0,2020,9,11,70,0.629,0.727,-4.387,0.05,0.065,0.138,149.978,230400,0.132,E,r&b brasileiro
75,1,2020,2,21,8516710,BTS,37151476,2/21/2020,2020.0,2,21.0,2020,2,21,72,0.526,0.575,-5.215,0.031,0.225,0.108,84.047,261543,0.19,A,k-pop
31,12,2021,6,4,9086979,"Rauw Alejandro, Mr. Naisgai",6080597,2/14/2021,2021.0,2,14.0,2021,7,23,87,0.54,0.455,-5.988,0.224,0.675,0.12,83.876,212032,0.432,D#/Eb,puerto rican pop
10,7,2020,12,11,4848954,Taylor Swift,42227614,12/11/2020,2020.0,12,11.0,2021,1,22,75,0.462,0.24,-12.077,0.038,0.92,0.113,171.319,244000,0.32,C,pop
189,1,2020,7,3,4470597,Anuel AA,18306226,5/29/2020,2020.0,5,29.0,2020,7,3,67,0.843,0.845,-2.344,0.05,0.35,0.053,126.989,210624,0.898,C,latin
66,1,2021,7,16,8859168,Pop Smoke,6837946,7/31/2021,2021.0,7,31.0,2021,7,16,57,0.662,0.686,-8.302,0.332,0.251,0.349,143.971,215000,0.678,G,brooklyn drill
196,1,2019,12,27,4623030,Jorge & Mateus,15019109,10/11/2019,2019.0,10,11.0,2019,12,27,66,0.528,0.87,-3.123,0.085,0.24,0.333,152.37,181930,0.714,B,sertanejo
165,1,2021,6,25,5527865,Doja Cat,8640063,6/25/2021,2021.0,6,25.0,2021,6,25,75,0.733,0.862,-5.736,0.197,0.374,0.131,111.076,223560,0.536,G,dance pop
164,1,2021,7,9,5454994,Bas,386757,7/9/2021,2021.0,7,9.0,2021,7,9,76,0.784,0.474,-6.139,0.052,0.333,0.278,128.012,204434,0.64,G#/Ab,hip hop
5,3,2021,7,9,22062812,BTS,37106176,7/9/2021,2021.0,7,9.0,2021,7,23,95,0.702,0.741,-5.33,0.043,0.005,0.337,124.925,187585,0.646,A,k-pop
191,1,2021,7,23,5063181,"Anne-Marie, Little Mix",8148393,7/23/2021,2021.0,7,23.0,2021,7,23,78,0.638,0.878,-3.639,0.048,0.015,0.308,103.948,176800,0.481,F,dance pop
89,1,2021,7,23,7365053,"Belly, The Weeknd, Young Thug",203972,7/22/2021,2021.0,7,22.0,2021,7,23,80,0.797,0.573,-7.85,0.319,0.159,0.144,124.995,206629,0.445,C,canadian hip hop
12,14,2020,12,25,5454807,Sia,20528724,11/1/2018,2018.0,11,1.0,2021,3,12,77,0.716,0.512,-6.257,0.033,0.483,0.093,104.957,165907,0.326,C#/Db,australian dance
90,10,2019,12,27,5112244,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",206225,10/11/2019,2019.0,10,11.0,2020,2,28,73,0.727,0.815,-2.454,0.153,0.026,0.231,176.075,216067,0.677,D#/Eb,latin
5,7,2020,12,18,16613649,Brenda Lee,222627,10/19/1964,1964.0,10,19.0,2020,12,25,58,0.589,0.472,-8.749,0.05,0.614,0.505,67.196,126267,0.898,G#/Ab,adult standards
75,1,2021,4,16,7515766,"Young Stoner Life, Young Thug, Gunna",61930,4/16/2021,2021.0,4,16.0,2021,4,16,69,0.851,0.703,-7.351,0.303,0.009,0.09,74.017,242600,0.596,E,rap
5,21,2021,3,19,6300416,Justin Bieber,1250353,8/13/2021,2021.0,8,13.0,2021,7,23,0,0.658,0.634,-5.797,0.041,0.011,0.132,139.98,170813,0.29,C#/Db,
67,2,2020,2,7,5835260,5 Seconds of Summer,7744095,3/27/2020,2020.0,3,27.0,2020,2,14,62,0.576,0.807,-3.019,0.037,0.019,0.096,90.932,192737,0.479,G,boy band
12,83,2019,12,27,8490162,Lewis Capaldi,8384096,5/17/2019,2019.0,5,17.0,2021,7,23,86,0.501,0.405,-5.679,0.032,0.751,0.105,109.891,182161,0.446,C#/Db,pop
52,22,2021,2,5,5068864,The Weeknd,35305637,8/28/2015,2015.0,8,28.0,2021,7,23,84,0.585,0.564,-7.063,0.052,0.067,0.135,113.003,242253,0.137,C,canadian contemporary r&b
130,11,2019,12,27,4565400,Drake,56327031,6/29/2018,2018.0,6,29.0,2020,5,1,82,0.754,0.449,-9.211,0.109,0.033,0.552,77.169,198973,0.357,G,canadian hip hop
84,1,2021,4,9,7736262,Taylor Swift,42227614,4/9/2021,2021.0,4,9.0,2021,4,9,72,0.402,0.732,-4.665,0.048,0.003,0.108,161.032,243137,0.472,F,pop
140,4,2021,1,22,5092250,Bring Me The Horizon,3912138,4/1/2013,2013.0,4,1.0,2021,2,5,77,0.15,0.859,-2.827,0.06,0.002,0.387,170.527,228147,0.354,E,melodic metalcore
42,60,2020,1,31,5467596,Billie Eilish,1250353,8/13/2021,2021.0,8,13.0,2021,4,30,0,0.484,0.103,-14.075,0.063,0.979,0.09,124.011,199931,0.194,C#/Db,
55,2,2021,6,25,5912293,Doja Cat,8640063,6/25/2021,2021.0,6,25.0,2021,7,2,80,0.683,0.615,-5.737,0.097,0.222,0.154,77.014,188893,0.45,F,dance pop
81,3,2020,3,6,4591194,Christian Nodal,8123757,5/29/2020,2020.0,5,29.0,2020,3,20,71,0.65,0.558,-3.082,0.031,0.368,0.303,141.82,159533,0.725,C,mariachi
22,22,2021,2,12,6318660,Dua Lipa,27142474,2/11/2021,2021.0,2,11.0,2021,7,9,83,0.722,0.588,-5.932,0.054,0.032,0.183,134.01,165507,0.59,F#/Gb,dance pop
36,2,2021,5,14,12648655,J. Cole,14097410,5/14/2021,2021.0,5,14.0,2021,5,14,70,0.618,0.632,-6.973,0.346,0.053,0.353,81.446,306257,0.319,B,conscious hip hop
70,1,2020,3,27,8136247,Dua Lipa,27167675,2/11/2021,2021.0,2,11.0,2020,3,27,65,0.469,0.785,-4.015,0.066,0.133,0.093,89.719,209583,0.79,F,dance pop
50,3,2021,6,11,5424579,Migos,11690201,6/11/2021,2021.0,6,11.0,2021,6,25,79,0.927,0.538,-3.917,0.116,0.031,0.095,125.983,278191,0.221,C#/Db,atl hip hop
32,1,2021,5,14,14051831,J. Cole,14097410,5/14/2021,2021.0,5,14.0,2021,5,14,70,0.769,0.74,-6.579,0.378,0.197,0.171,94.104,112579,0.692,B,conscious hip hop
105,6,2020,2,14,5434180,Myke Towers,6161098,1/24/2020,2020.0,1,24.0,2020,3,6,72,0.733,0.708,-4.957,0.094,0.033,0.324,93.021,186427,0.694,F#/Gb,trap latino
8,71,2020,8,14,4977498,"Topic, A7S",151832,12/19/2019,2019.0,12,19.0,2021,7,23,84,0.789,0.72,-5.652,0.218,0.223,0.129,122.031,166794,0.664,G#/Ab,dance pop
97,3,2021,7,23,6858466,Doja Cat,8640063,6/25/2021,2021.0,6,25.0,2021,7,23,86,0.824,0.764,-4.175,0.085,0.089,0.117,107.998,172627,0.881,F,dance pop
188,1,2020,8,21,4561189,blackbear,4272745,8/19/2020,2020.0,8,19.0,2020,8,21,64,0.666,0.628,-5.613,0.062,0.144,0.189,82.992,186468,0.767,G#/Ab,electropop
168,1,2020,11,13,5151014,"Future, Lil Uzi Vert",10491105,11/13/2020,2020.0,11,13.0,2020,11,13,64,0.94,0.532,-5.998,0.358,0.12,0.093,123.043,228796,0.599,B,atl hip hop
27,2,2020,11,20,7010227,BTS,37151476,11/20/2020,2020.0,11,20.0,2020,11,27,76,0.582,0.693,-5.048,0.047,0.114,0.13,125.904,204800,0.341,F#/Gb,k-pop
80,5,2021,6,11,5259503,TWICE,9987114,6/11/2021,2021.0,6,11.0,2021,7,9,82,0.688,0.909,-1.992,0.062,0.047,0.067,97.097,210573,0.702,G#/Ab,k-pop
87,1,2021,7,16,7371935,Pop Smoke,6837946,7/31/2021,2021.0,7,31.0,2021,7,16,56,0.563,0.672,-7.226,0.077,0.359,0.097,99.772,156000,0.284,A,brooklyn drill
57,1,2020,12,11,12234761,Taylor Swift,42227614,12/11/2020,2020.0,12,11.0,2020,12,11,64,0.535,0.561,-11.609,0.048,0.876,0.115,96.103,257773,0.287,F,pop
8,8,2020,7,10,4883202,Juice WRLD,19102888,7/10/2020,2020.0,7,10.0,2020,8,21,74,0.63,0.446,-8.9,0.035,0.337,0.166,143.078,202193,0.177,C#/Db,chicago rap
155,22,2021,7,2,5382191,The Killers,6118063,6/15/2004,2004.0,6,15.0,2021,7,23,75,0.356,0.924,-3.74,0.081,0.001,0.095,148.017,222587,0.232,C#/Db,dance rock
132,1,2020,3,27,5878493,"Zuna, Loredana, SRNO",900975,3/27/2020,2020.0,3,27.0,2020,3,27,54,0.761,0.556,-6.943,0.364,0.138,0.098,187.81,160357,0.521,C#/Db,albanian hip hop
151,7,2021,1,1,5044252,Tarcísio do Acordeon,1200248,12/17/2020,2020.0,12,17.0,2021,2,12,67,0.709,0.816,-4.787,0.035,0.685,0.146,150.06,237900,0.921,B,
106,1,2021,5,21,6935400,Barbara Pravi,75496,11/6/2020,2020.0,11,6.0,2021,5,21,72,0.447,0.337,-8.665,0.063,0.773,0.298,135.379,176816,0.603,D,eurovision
145,1,2020,12,18,7363913,Bruce Springsteen,4224071,1981,,1981,,2020,12,18,44,0.357,0.668,-8.444,0.048,0.362,0.727,139.986,267600,0.407,C,classic rock
45,18,2021,1,1,4967348,"Camilo, El Alfa",10580764,11/25/2020,2020.0,11,25.0,2021,4,2,78,0.862,0.72,-4.048,0.038,0.487,0.06,129.972,198707,0.965,E,colombian pop
35,48,2021,1,29,8564017,The Neighbourhood,6662605,4/19/2013,2013.0,4,19.0,2021,7,23,87,0.612,0.807,-2.81,0.034,0.05,0.101,124.053,240400,0.398,A#/Bb,modern alternative rock
93,1,2021,4,9,7385864,Taylor Swift,42227614,4/9/2021,2021.0,4,9.0,2021,4,9,66,0.788,0.571,-6.135,0.03,0.106,0.093,115.99,254255,0.797,F#/Gb,pop
156,1,2020,12,18,7227612,Dean Martin,1139096,1/1/1959,1959.0,1,1.0,2020,12,18,41,0.478,0.201,-16.768,0.033,0.919,0.085,136.471,135760,0.857,G,adult standards
190,2,2020,4,3,4324610,Rod Wave,2203386,6/14/2019,2019.0,6,14.0,2020,4,10,70,0.733,0.389,-8.468,0.074,0.051,0.141,157.878,159670,0.244,A#/Bb,florida rap
60,5,2020,5,8,4432210,"Bad Bunny, Nicky Jam",36177712,5/10/2020,2020.0,5,10.0,2020,6,5,71,0.59,0.729,-4.95,0.089,0.321,0.659,93.094,202240,0.712,G,latin
61,17,2020,12,4,5831357,"Russ Millions, Tion Wayne",323203,4/22/2021,2021.0,4,22.0,2021,5,7,84,0.883,0.674,-8.043,0.357,0.21,0.068,141.02,278085,0.73,B,london rap
123,8,2020,1,31,5286044,TOKYO’S REVENGE,313480,10/18/2019,2019.0,10,18.0,2020,2,28,74,0.907,0.539,-7.782,0.36,0.041,0.253,124.918,150115,0.664,E,meme rap
197,1,2021,4,23,4945935,Bruno Mars,32603394,12/7/2012,2012.0,12,7.0,2021,4,23,82,0.612,0.28,-8.648,0.043,0.932,0.088,72.795,213827,0.387,C,dance pop
70,1,2020,1,17,9493884,Eminem,46814751,1/17/2020,2020.0,1,17.0,2020,1,17,63,0.756,0.747,-5.407,0.046,0.005,0.588,134.935,200947,0.069,A,detroit hip hop
1,40,2020,10,30,7244853,Ariana Grande,67158068,10/30/2020,2020.0,10,30.0,2021,7,23,86,0.737,0.802,-4.771,0.088,0.468,0.093,144.015,172325,0.682,C,dance pop
2,52,2020,9,4,5769714,Maluma,26769304,11/5/2020,2020.0,11,5.0,2021,7,23,77,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482,0.609,F#/Gb,latin
47,7,2020,6,12,4629083,Lil Baby,7816213,6/12/2020,2020.0,6,12.0,2020,7,24,70,0.59,0.618,-5.756,0.334,0.013,0.244,96.459,252729,0.153,C#/Db,atl hip hop
68,3,2020,1,31,5376451,"Joker Bra, VIZE",191521,1/30/2020,2020.0,1,30.0,2020,2,14,63,0.771,0.921,-4.228,0.109,0.166,0.119,128.021,148125,0.56,C#/Db,german hip hop
25,39,2021,2,5,5693848,MEDUZA,441674,10/30/2020,2020.0,10,30.0,2021,7,23,85,0.632,0.595,-7.644,0.04,0.069,0.209,124.114,167903,0.435,G#/Ab,dance pop
78,1,2020,7,10,8449557,Juice WRLD,19102888,7/10/2020,2020.0,7,10.0,2020,7,10,60,0.307,0.528,-11.337,0.108,0.972,0.222,174.795,70395,0.58,B,chicago rap
12,32,2020,4,17,5089970,"BENEE, Gus Dapperton",638337,11/15/2019,2019.0,11,15.0,2020,10,9,77,0.863,0.631,-4.689,0.053,0.305,0.123,128.977,223480,0.817,G,alt z
77,1,2020,10,2,8243488,"21 Savage, Metro Boomin",9949044,10/2/2020,2020.0,10,2.0,2020,10,2,64,0.774,0.706,-6.494,0.355,0.002,0.104,152.891,185037,0.382,D,atl hip hop
29,30,2020,1,31,4617726,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",3600989,11/1/2019,2019.0,11,1.0,2020,7,17,77,0.654,0.672,-5.98,0.311,0.471,0.078,181.857,249520,0.343,C,latin
89,9,2020,9,11,5112572,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",249910,8/15/2020,2020.0,8,15.0,2020,10,16,72,0.901,0.939,-2.762,0.274,0.117,0.064,142.948,356347,0.805,F#/Gb,french hip hop
167,1,2020,1,17,5678754,Gambi,951798,1/17/2020,2020.0,1,17.0,2020,1,17,59,0.916,0.57,-6.278,0.18,0.029,0.085,110.05,169702,0.7,C#/Db,francoton
102,3,2020,1,3,5705999,"Idina Menzel, AURORA",1251372,11/15/2019,2019.0,11,15.0,2020,1,10,74,0.323,0.405,-8.533,0.041,0.849,0.138,145.104,194848,0.274,A#/Bb,
92,10,2020,9,18,4731423,"Daddy Yankee, Anuel AA, Kendo Kaponi",23936368,9/11/2020,2020.0,9,11.0,2020,11,13,69,0.838,0.819,-4.681,0.211,0.285,0.224,105.027,275893,0.656,F,latin
25,4,2021,6,11,5234112,Lorde,8083566,6/10/2021,2021.0,6,10.0,2021,7,2,81,0.735,0.47,-9.405,0.1,0.266,0.32,87.971,192621,0.897,E,art pop
71,4,2021,5,21,7506580,Polo G,4840346,5/21/2021,2021.0,5,21.0,2021,6,11,78,0.752,0.563,-8.066,0.209,0.146,0.103,145.05,178776,0.551,D#/Eb,chicago rap
175,1,2020,12,18,6809438,Donny Hathaway,424935,4/3/1990,1990.0,4,3.0,2020,12,18,42,0.634,0.645,-9.2,0.038,0.292,0.246,93.047,231173,0.677,F,chicago soul
2,48,2020,10,16,6697067,Internet Money,411579,8/14/2020,2020.0,8,14.0,2021,7,23,82,0.799,0.66,-6.153,0.079,0.256,0.111,140.04,195429,0.471,C#/Db,pop rap
124,1,2021,6,11,6410263,Maroon 5,32262679,6/11/2021,2021.0,6,11.0,2021,6,11,79,0.766,0.706,-6.553,0.16,0.223,0.064,142.989,172598,0.766,G,pop
67,5,2020,6,5,4592745,TWICE,9998991,6/1/2020,2020.0,6,1.0,2020,6,26,70,0.739,0.841,-4.162,0.06,0.031,0.173,106.99,199653,0.562,F,k-pop
60,17,2020,6,12,5370330,The Kid LAROI,2238190,7/24/2020,2020.0,7,24.0,2020,12,4,78,0.487,0.74,-4.973,0.094,0.157,0.612,73.779,181688,0.522,F#/Gb,australian hip hop
132,1,2021,4,2,5836326,Demi Lovato,20338833,3/26/2021,2021.0,3,26.0,2021,4,2,66,0.413,0.64,-5.811,0.043,0.273,0.11,75.245,243992,0.149,G#/Ab,dance pop
1,83,2020,6,12,15011809,The Weeknd,35305637,3/20/2020,2020.0,3,20.0,2021,7,23,92,0.514,0.73,-5.934,0.06,0.001,0.09,171.005,200040,0.334,C#/Db,canadian contemporary r&b
190,1,2021,1,8,4860714,Morgan Wallen,2147875,1/8/2021,2021.0,1,8.0,2021,1,8,68,0.633,0.664,-5.037,0.029,0.46,0.108,115.058,156747,0.268,A#/Bb,contemporary country
135,6,2019,12,27,4940984,Khalid,14190858,4/5/2019,2019.0,4,5.0,2020,2,7,73,0.9,0.4,-8.575,0.127,0.052,0.06,135.984,197573,0.346,C,pop
20,3,2020,10,30,5308945,Ariana Grande,67208170,10/30/2020,2020.0,10,30.0,2020,11,13,67,0.411,0.522,-7.295,0.098,0.519,0.398,88.332,239949,0.382,C,dance pop
70,2,2020,1,31,5561205,Lil Wayne,10710088,1/31/2020,2020.0,1,31.0,2020,2,7,60,0.804,0.528,-3.231,0.378,0.125,0.41,138.005,184440,0.321,C#/Db,hip hop
73,1,2020,1,17,9260007,Eminem,46814751,1/17/2020,2020.0,1,17.0,2020,1,17,62,0.871,0.493,-6.356,0.205,0.013,0.385,144.989,200573,0.05,C#/Db,detroit hip hop
46,19,2020,11,6,5440707,The Kid LAROI,2238190,10/23/2020,2020.0,10,23.0,2021,2,26,74,0.719,0.598,-6.254,0.077,0.232,0.115,142.592,126521,0.303,A,australian hip hop
196,1,2020,2,21,4851895,"Dalex, Sech",3600989,3/19/2020,2020.0,3,19.0,2020,2,21,63,0.524,0.577,-4.501,0.18,0.185,0.103,175.396,201361,0.19,D,latin
18,18,2021,1,1,4965330,Ed Sheeran,1250353,8/13/2021,2021.0,8,13.0,2021,4,16,0,0.641,0.324,-5.851,0.03,0.698,0.328,110.184,185487,0.273,B,
124,20,2020,1,3,4397708,benny blanco,804613,7/12/2018,2018.0,7,12.0,2020,5,8,77,0.56,0.68,-7.648,0.321,0.555,0.116,89.391,173800,0.319,F#/Gb,electropop
